lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
,2849,192.66598510742188,18,,,,
0.004720470011463168,2899,,,,,,
,2899,193.6764373779297,18,,,,
0.004745471610450358,2949,,,,,,
,2949,192.95571899414062,18,,,,
,2982,,18,192.64651489257812,0.10350000113248825,,
0.004770896248821613,2999,,,,,,
,2999,192.99542236328125,19,,,,
0.004796743698966474,3049,,,,,,
,3049,192.42318725585938,19,,,,
0.0048230137294893866,3099,,,,,,
,3099,192.70420837402344,19,,,,
,3139,,19,192.38258361816406,0.10350000113248825,,
0.004849706105211654,3149,,,,,,
,3149,192.77371215820312,20,,,,
0.004876820587173605,3199,,,,,,
,3199,192.4086456298828,20,,,,
0.004904356932636744,3249,,,,,,
,3249,192.91159057617188,20,,,,
,3296,,20,192.1414794921875,0.10350000113248825,,
0.0049323148950858875,3299,,,,,,
,3299,192.7507781982422,21,,,,
0.004960694224231385,3349,,,,,,
,3349,192.89013671875,21,,,,
0.004989494666011368,3399,,,,,,
,3399,192.4033203125,21,,,,
0.005018715962594011,3449,,,,,,
,3449,192.55294799804688,21,,,,
,3453,,21,191.9147491455078,0.10350000113248825,,
0.0050483578523798645,3499,,,,,,
,3499,192.41909790039062,22,,,,
0.0050784200700041415,3549,,,,,,
,3549,191.99716186523438,22,,,,
0.00510890234633915,3599,,,,,,
,3599,192.58175659179688,22,,,,
,3610,,22,191.7049102783203,0.10350000113248825,,
0.00513980440849672,3649,,,,,,
,3649,192.00306701660156,23,,,,
0.005171125979830549,3699,,,,,,
,3699,191.66726684570312,23,,,,
0.005202866779938767,3749,,,,,,
,3749,191.09007263183594,23,,,,
,3767,,23,191.5088653564453,0.10350000113248825,,
0.005235026524666425,3799,,,,,,
,3799,191.28915405273438,24,,,,
0.005267604926108005,3849,,,,,,
,3849,191.5896759033203,24,,,,
0.0053006016926100685,3899,,,,,,
,3899,191.5319061279297,24,,,,
,3924,,24,191.32846069335938,0.10350000113248825,,
0.005334016528773772,3949,,,,,,
,3949,191.88783264160156,25,,,,
0.005367849135457611,3999,,,,,,
,3999,191.72381591796875,25,,,,
0.00540209920978002,4049,,,,,,
,4049,191.04104614257812,25,,,,
,4081,,25,191.154541015625,0.10350000113248825,,
0.005436766445122115,4099,,,,,,
,4099,191.18789672851562,26,,,,
0.005471850531130473,4149,,,,,,
,4149,191.00045776367188,26,,,,
0.005507351153719836,4199,,,,,,
,4199,191.37705993652344,26,,,,
,4238,,26,190.99362182617188,0.10350000113248825,,
0.005543267995075957,4249,,,,,,
,4249,191.408203125,27,,,,
0.005579600733658485,4299,,,,,,
,4299,191.10379028320312,27,,,,
0.0056163490442038,4349,,,,,,
,4349,191.39801025390625,27,,,,
,4395,,27,190.84222412109375,0.10350000113248825,,
0.005653512597727894,4399,,,,,,
,4399,191.26345825195312,28,,,,
0.0056910910615294436,4449,,,,,,
,4449,191.46624755859375,28,,,,
0.00572908409919258,4499,,,,,,
,4499,190.72921752929688,28,,,,
0.005767491370590128,4549,,,,,,
,4549,191.17811584472656,28,,,,
,4552,,28,190.6990966796875,0.10350000113248825,,
0.005806312531886487,4599,,,,,,
,4599,190.4008026123047,29,,,,
0.005845547235540774,4649,,,,,,
,4649,191.12376403808594,29,,,,
0.005885195130309953,4699,,,,,,
,4699,190.38470458984375,29,,,,
,4709,,29,190.56619262695312,0.10350000113248825,,
0.005925255861251935,4749,,,,,,
,4749,190.56427001953125,30,,,,
0.0059657290697287535,4799,,,,,,
,4799,190.2741241455078,30,,,,
0.00600661439340984,4849,,,,,,
,4849,190.91941833496094,30,,,,
,4866,,30,190.4376983642578,0.10350000113248825,,
0.006047911466275188,4899,,,,,,
,4899,190.63116455078125,31,,,,
0.006089619918618686,4949,,,,,,
,4949,190.0973358154297,31,,,,
0.006131739377051401,4999,,,,,,
,4999,190.54220581054688,31,,,,
,5023,,31,190.3155975341797,0.10350000113248825,,
0.006174269464504931,5049,,,,,,
,5049,190.55374145507812,32,,,,
0.006217209800234755,5099,,,,,,
,5099,190.42697143554688,32,,,,
0.006260559999823681,5149,,,,,,
,5149,191.0142364501953,32,,,,
,5180,,32,190.20330810546875,0.10350000113248825,,
0.006304319675185299,5199,,,,,,
,5199,190.2089080810547,33,,,,
0.006348488434567354,5249,,,,,,
,5249,190.5524444580078,33,,,,
0.006393065882555393,5299,,,,,,
,5299,190.4571533203125,33,,,,
,5337,,33,190.0948028564453,0.10350000113248825,,
0.006438051620076185,5349,,,,,,
,5349,190.10394287109375,34,,,,
0.006483445244401392,5399,,,,,,
,5399,190.17947387695312,34,,,,
0.006529246349151113,5449,,,,,,
,5449,191.1244354248047,34,,,,
,5494,,34,189.9906463623047,0.10350000113248825,,
0.0065754545242975165,5499,,,,,,
,5499,190.05783081054688,35,,,,
0.006622069356168547,5549,,,,,,
,5549,190.08290100097656,35,,,,
0.006669090427451604,5599,,,,,,
,5599,190.44125366210938,35,,,,
0.006716517317197315,5649,,,,,,
,5649,189.9306640625,35,,,,
,5651,,35,189.8951873779297,0.10350000113248825,,
0.006764349600823227,5699,,,,,,
,5699,190.12518310546875,36,,,,
0.006812586850117708,5749,,,,,,
,5749,190.50137329101562,36,,,,
0.006861228633243718,5799,,,,,,
,5799,189.42776489257812,36,,,,
,5808,,36,189.80015563964844,0.10350000113248825,,
0.006910274514742645,5849,,,,,,
,5849,190.31460571289062,37,,,,
0.006959724055538283,5899,,,,,,
,5899,190.27816772460938,37,,,,
0.007009576812940718,5949,,,,,,
,5949,190.37945556640625,37,,,,
,5965,,37,189.71255493164062,0.10350000113248825,,
0.007059832340650288,5999,,,,,,
,5999,190.494384765625,38,,,,
0.007110490188761587,6049,,,,,,
,6049,189.2313690185547,38,,,,
0.007161549903767536,6099,,,,,,
,6099,189.69091796875,38,,,,
,6122,,38,189.6292266845703,0.10350000113248825,,
0.007213011028563324,6149,,,,,,
,6149,189.86770629882812,39,,,,
0.0072648731024506225,6199,,,,,,
,6199,189.66217041015625,39,,,,
0.007317135661141672,6249,,,,,,
,6249,189.80331420898438,39,,,,
,6279,,39,189.54989624023438,0.10350000113248825,,
0.007369798236763411,6299,,,,,,
,6299,190.1741180419922,40,,,,
0.007422860357861674,6349,,,,,,
,6349,190.17733764648438,40,,,,
0.00747632154940546,6399,,,,,,
,6399,189.45361328125,40,,,,
,6436,,40,189.47523498535156,0.10350000113248825,,
0.007530181332791097,6449,,,,,,
,6449,189.89273071289062,41,,,,
0.0075844392258466314,6499,,,,,,
,6499,189.94692993164062,41,,,,
0.007639094742836042,6549,,,,,,
,6549,189.17410278320312,41,,,,
,6593,,41,189.4010772705078,0.10350000113248825,,
0.0076941473944636685,6599,,,,,,
,6599,189.1541748046875,42,,,,
0.007749596687878557,6649,,,,,,
,6649,190.12496948242188,42,,,,
0.007805442126678844,6699,,,,,,
,6699,189.36407470703125,42,,,,
0.007861683210916251,6749,,,,,,
,6749,190.05516052246094,42,,,,
,6750,,42,189.33358764648438,0.10350000113248825,,
0.007918319437100557,6799,,,,,,
,6799,190.34042358398438,43,,,,
0.007975350298204065,6849,,,,,,
,6849,190.04339599609375,43,,,,
0.00803277528366618,6899,,,,,,
,6899,189.6928253173828,43,,,,
,6907,,43,189.267578125,0.10350000113248825,,
0.008090593879397978,6949,,,,,,
,6949,189.44754028320312,44,,,,
0.008148805567786743,6999,,,,,,
,6999,189.84100341796875,44,,,,
0.008207409827700712,7049,,,,,,
,7049,189.3868865966797,44,,,,
,7064,,44,189.20620727539062,0.10350000113248825,,
0.008266406134493642,7099,,,,,,
,7099,189.00009155273438,45,,,,
0.008325793960009598,7149,,,,,,
,7149,189.551513671875,45,,,,
0.008385572772587543,7199,,,,,,
,7199,189.46755981445312,45,,,,
,7221,,45,189.14768981933594,0.10350000113248825,,
0.008445742037066273,7249,,,,,,
,7249,188.95004272460938,46,,,,
0.008506301214789083,7299,,,,,,
,7299,189.06185913085938,46,,,,
0.008567249763608606,7349,,,,,,
,7349,189.16055297851562,46,,,,
,7378,,46,189.0914306640625,0.10350000113248825,,
0.008628587137891705,7399,,,,,,
,7399,189.92251586914062,47,,,,
0.008690312788524363,7449,,,,,,
,7449,189.57647705078125,47,,,,
0.008752426162916535,7499,,,,,,
,7499,189.96322631835938,47,,,,
,7535,,47,189.03933715820312,0.10350000113248825,,
0.008814926705007137,7549,,,,,,
,7549,189.5755157470703,48,,,,
0.008877813855269048,7599,,,,,,
,7599,189.41748046875,48,,,,
0.008941087050714086,7649,,,,,,
,7649,189.13949584960938,48,,,,
,7692,,48,188.98587036132812,0.10350000113248825,,
0.009004745724898053,7699,,,,,,
,7699,189.19845581054688,49,,,,
0.009068789307925804,7749,,,,,,
,7749,189.136474609375,49,,,,
0.009133217226456325,7799,,,,,,
,7799,189.24099731445312,49,,,,
0.009198028903707939,7849,,,,,,
,7849,47.609642028808594,49,,,,
,7849,,49,188.93780517578125,0.10350000113248825,,
0.009263223759463424,7899,,,,,,
,7899,189.27699279785156,50,,,,
0.00932880121007515,7949,,,,,,
,7949,189.1470489501953,50,,,,
0.009394760668470434,7999,,,,,,
,7999,189.50350952148438,50,,,,
,8006,,50,188.891845703125,0.10350000113248825,,
0.009461101544156691,8049,,,,,,
,8049,188.91200256347656,51,,,,
0.009527823243226735,8099,,,,,,
,8099,188.9706573486328,51,,,,
0.009594925168364132,8149,,,,,,
,8149,189.10513305664062,51,,,,
,8163,,51,188.84925842285156,0.10350000113248825,,
0.009662406718848535,8199,,,,,,
,8199,189.47830200195312,52,,,,
0.009730267290561048,8249,,,,,,
,8249,188.90225219726562,52,,,,
0.009798506275989632,8299,,,,,,
,8299,189.6071014404297,52,,,,
,8320,,52,188.8078155517578,0.10350000113248825,,
0.009867123064234554,8349,,,,,,
,8349,188.81590270996094,53,,,,
0.009936117041013909,8399,,,,,,
,8399,188.95794677734375,53,,,,
0.010005487588668954,8449,,,,,,
,8449,189.72119140625,53,,,,
,8477,,53,188.76927185058594,0.10350000113248825,,
0.01007523408616988,8499,,,,,,
,8499,189.40365600585938,54,,,,
0.010145355909121134,8549,,,,,,
,8549,188.74624633789062,54,,,,
0.010215852429767205,8599,,,,,,
,8599,189.08193969726562,54,,,,
,8634,,54,188.73069763183594,0.10350000113248825,,
0.01028672301699804,8649,,,,,,
,8649,188.9205322265625,55,,,,
0.010357967036354929,8699,,,,,,
,8699,189.4305419921875,55,,,,
0.010429583850035992,8749,,,,,,
,8749,189.810791015625,55,,,,
,8791,,55,188.69581604003906,0.10350000113248825,,
0.010501572816902005,8799,,,,,,
,8799,189.03306579589844,56,,,,
0.010573933292482046,8849,,,,,,
,8849,189.33738708496094,56,,,,
0.010646664628979355,8899,,,,,,
,8899,189.04653930664062,56,,,,
,8948,,56,188.6515655517578,0.10350000113248825,,
0.010719766175277076,8949,,,,,,
,8949,188.69107055664062,57,,,,
0.010793237276944118,8999,,,,,,
,8999,189.20103454589844,57,,,,
